
WARNING:tensorflow:From C:\Users\giova\anaconda3\envs\DLA\lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
C:\Users\giova\__PRODUCTIVITY\ArtificialIntelligence\__UNI\PW_AutonomousAgents\agent.py:90: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\cb\pytorch_1000000000000\work\torch\csrc\utils\tensor_new.cpp:264.)
  states = torch.tensor(normalized_states, dtype=torch.float32, device=self.device)
wandb: WARNING (User provided step: 41 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.769932746887207, 'State/2 - EV': 1.1148061752319336, 'State/2 - ACC': 0.24824120104312897, '_timestamp': 1728851398.6264803}).
wandb: WARNING (User provided step: 42 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.84417724609375, 'State/2 - EV': 1.089982032775879, 'State/2 - ACC': -1.0060302019119263, '_timestamp': 1728851398.6264803}).
wandb: WARNING (User provided step: 43 is less than current step: 99. Dropping entry: {'State/2 - EP': 10.104080200195312, 'State/2 - EV': 1.1905850172042847, 'State/2 - ACC': 0.8753768801689148, '_timestamp': 1728851398.6264803}).
wandb: WARNING (User provided step: 44 is less than current step: 99. Dropping entry: {'State/2 - EP': 10.091832160949707, 'State/2 - EV': 1.1030473709106445, 'State/2 - ACC': -2.338693380355835, '_timestamp': 1728851398.6309927}).
wandb: WARNING (User provided step: 45 is less than current step: 99. Dropping entry: {'State/2 - EP': 10.55294132232666, 'State/2 - EV': 1.3369166851043701, 'State/2 - ACC': 0.7447236180305481, '_timestamp': 1728851398.6309927}).
wandb: WARNING (User provided step: 46 is less than current step: 99. Dropping entry: {'State/2 - EP': 10.57492446899414, 'State/2 - EV': 1.2624443769454956, 'State/2 - ACC': -1.3457286357879639, '_timestamp': 1728851398.6319935}).
wandb: WARNING (User provided step: 47 is less than current step: 99. Dropping entry: {'State/2 - EP': 10.90302848815918, 'State/2 - EV': 1.397017240524292, 'State/2 - ACC': -0.37889447808265686, '_timestamp': 1728851398.6319935}).
wandb: WARNING (User provided step: 48 is less than current step: 99. Dropping entry: {'State/2 - EP': 11.099564552307129, 'State/2 - EV': 1.4349067211151123, 'State/2 - ACC': 0.8753768801689148, '_timestamp': 1728851398.6359932}).
wandb: WARNING (User provided step: 49 is less than current step: 99. Dropping entry: {'State/2 - EP': 11.111748695373535, 'State/2 - EV': 1.3473690748214722, 'State/2 - ACC': 1.4502512216567993, '_timestamp': 1728851398.6369946}).
wandb: WARNING (User provided step: 50 is less than current step: 99. Dropping entry: {'State/2 - EP': 11.028947830200195, 'State/2 - EV': 1.2023439407348633, 'State/2 - ACC': -2.5999999046325684, '_timestamp': 1728851398.6369946}).
